75	96	47	27	72	18	5	4	97	61	24	6	70	49	77	
52	74	32	35	7	72	9	86	8	38	84	52	92	73	1	
74	1	97	22	80	70	92	86	26	89	99	50	47	21	51	
25	25	77	9	61	84	81	22	70	89	60	7	94	5	32	
95	79	33	92	53	14	14	46	52	40	35	51	42	83	25	
94	60	50	71	69	11	8	3	85	78	44	98	37	38	3	
70	85	82	3	78	88	69	92	34	21	85	21	25	27	4	
50	73	16	0	45	86	64	5	89	49	83	33	47	21	24	
2	43	9	37	98	39	25	68	84	11	41	69	32	66	96	
89	68	70	5	21	67	91	85	72	32	86	7	18	86	80	
42	88	23	51	77	22	91	2	42	27	13	83	96	98	50	
44	87	70	66	92	91	33	36	28	57	20	15	65	38	53	
97	80	41	73	84	71	47	27	73	89	54	39	72	2	37	
74	46	24	97	13	68	88	46	56	17	56	77	84	73	15	
37	70	48	30	43	32	1	42	11	75	31	17	66	56	19	
